"","unlist.a.","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"630","curarrehue","mapuche","no","hombre",155,"2009",9104
"631","curarrehue","no pertenece a ningún pueblo indígena","no","hombre",148,"2009",9104
"632","curarrehue","mapuche","sí","hombre",1595,"2009",9104
"633","curarrehue","mapuche","no","mujer",278,"2009",9104
"634","curarrehue","no pertenece a ningún pueblo indígena","sí","hombre",967,"2009",9104
"635","curarrehue","no pertenece a ningún pueblo indígena","no","mujer",100,"2009",9104
"636","curarrehue","mapuche","sí","mujer",1303,"2009",9104
"637","curepto","no pertenece a ningún pueblo indígena","sí","hombre",3313,"2009",7103
"638","curepto","no pertenece a ningún pueblo indígena","no","mujer",384,"2009",7103
"639","curepto","no pertenece a ningún pueblo indígena","no","hombre",616,"2009",7103
"640","curepto","no pertenece a ningún pueblo indígena","sí","mujer",3406,"2009",7103
"641","curicó","mapuche","sí","hombre",487,"2009",7301
"642","curicó","yagán","no","hombre",99,"2009",7301
"643","curicó","no pertenece a ningún pueblo indígena","no","mujer",3149,"2009",7301
"644","curicó","no pertenece a ningún pueblo indígena","sí","hombre",45691,"2009",7301
"645","curicó","aymara","sí","hombre",460,"2009",7301
"646","curicó","aymara","sí","mujer",230,"2009",7301
"647","curicó","no pertenece a ningún pueblo indígena","no","hombre",2387,"2009",7301
"648","curicó","mapuche","sí","mujer",643,"2009",7301
"649","curicó","no pertenece a ningún pueblo indígena","sí","mujer",53031,"2009",7301
"650","dalcahue","mapuche","sí","mujer",659,"2009",10205
"651","dalcahue","no pertenece a ningún pueblo indígena","no","hombre",319,"2009",10205
"652","dalcahue","mapuche","sí","hombre",498,"2009",10205
"653","dalcahue","no pertenece a ningún pueblo indígena","sí","mujer",4995,"2009",10205
"654","dalcahue","no pertenece a ningún pueblo indígena","sí","hombre",4911,"2009",10205
"655","dalcahue","no pertenece a ningún pueblo indígena","no","mujer",211,"2009",10205
"656","dalcahue","mapuche","no","mujer",20,"2009",10205
"657","diego de almagro","no pertenece a ningún pueblo indígena","no","mujer",100,"2009",3202
"658","diego de almagro","no pertenece a ningún pueblo indígena","no","hombre",22,"2009",3202
"659","diego de almagro","coya","sí","mujer",58,"2009",3202
"660","diego de almagro","no pertenece a ningún pueblo indígena","sí","hombre",3906,"2009",3202
"661","diego de almagro","aymara","sí","mujer",13,"2009",3202
"662","diego de almagro","diaguita","sí","mujer",4,"2009",3202
"663","diego de almagro","coya","sí","hombre",54,"2009",3202
"664","diego de almagro","no pertenece a ningún pueblo indígena","sí","mujer",4142,"2009",3202
"665","diego de almagro","diaguita","sí","hombre",8,"2009",3202
"666","diego de almagro","coya","no","mujer",12,"2009",3202
"667","diego de almagro","mapuche","sí","hombre",33,"2009",3202
"668","diego de almagro","mapuche","sí","mujer",63,"2009",3202
"669","doñihue","no pertenece a ningún pueblo indígena","no","mujer",215,"2009",6105
"670","doñihue","mapuche","sí","mujer",116,"2009",6105
"671","doñihue","no pertenece a ningún pueblo indígena","no","hombre",502,"2009",6105
"672","doñihue","mapuche","sí","hombre",188,"2009",6105
"673","doñihue","no pertenece a ningún pueblo indígena","sí","mujer",8193,"2009",6105
"674","doñihue","no pertenece a ningún pueblo indígena","sí","hombre",6191,"2009",6105
"675","el bosque","mapuche","no","mujer",81,"2009",13105
"676","el bosque","mapuche","sí","mujer",2097,"2009",13105
"677","el bosque","mapuche","sí","hombre",2380,"2009",13105
"678","el bosque","no pertenece a ningún pueblo indígena","no","hombre",1577,"2009",13105
"679","el bosque","no pertenece a ningún pueblo indígena","sí","mujer",65641,"2009",13105
"680","el bosque","no pertenece a ningún pueblo indígena","sí","hombre",60767,"2009",13105
"681","el bosque","no pertenece a ningún pueblo indígena","no","mujer",1435,"2009",13105
"682","el carmen","mapuche","sí","hombre",9,"2009",16104
"683","el carmen","no pertenece a ningún pueblo indígena","sí","mujer",4125,"2009",16104
"684","el carmen","mapuche","sí","mujer",20,"2009",16104
"685","el carmen","no pertenece a ningún pueblo indígena","sí","hombre",3945,"2009",16104
"686","el carmen","diaguita","sí","hombre",19,"2009",16104
"687","el carmen","diaguita","sí","mujer",19,"2009",16104
"688","el carmen","no pertenece a ningún pueblo indígena","no","hombre",529,"2009",16104
"689","el carmen","mapuche","no","mujer",16,"2009",16104
"690","el carmen","no pertenece a ningún pueblo indígena","no","mujer",386,"2009",16104
"691","el monte","mapuche","sí","hombre",235,"2009",13602
"692","el monte","no pertenece a ningún pueblo indígena","sí","mujer",11236,"2009",13602
"693","el monte","mapuche","no","hombre",36,"2009",13602
"694","el monte","aymara","sí","mujer",39,"2009",13602
"695","el monte","mapuche","sí","mujer",507,"2009",13602
"696","el monte","no pertenece a ningún pueblo indígena","sí","hombre",9990,"2009",13602
"697","el monte","no pertenece a ningún pueblo indígena","no","hombre",529,"2009",13602
"698","el monte","no pertenece a ningún pueblo indígena","no","mujer",637,"2009",13602
"699","el monte","mapuche","no","mujer",33,"2009",13602
"700","el monte","quechua","no","mujer",40,"2009",13602
"701","el monte","coya","sí","mujer",33,"2009",13602
"702","el quisco","no pertenece a ningún pueblo indígena","no","mujer",73,"2009",5604
"703","el quisco","no pertenece a ningún pueblo indígena","no","hombre",129,"2009",5604
"704","el quisco","mapuche","sí","hombre",231,"2009",5604
"705","el quisco","no pertenece a ningún pueblo indígena","sí","hombre",4405,"2009",5604
"706","el quisco","no pertenece a ningún pueblo indígena","sí","mujer",5384,"2009",5604
"707","el quisco","mapuche","sí","mujer",201,"2009",5604
"708","el tabo","no pertenece a ningún pueblo indígena","no","mujer",163,"2009",5605
"709","el tabo","no pertenece a ningún pueblo indígena","no","hombre",81,"2009",5605
"710","el tabo","mapuche","sí","mujer",24,"2009",5605
"711","el tabo","no pertenece a ningún pueblo indígena","sí","hombre",4010,"2009",5605
"712","el tabo","no pertenece a ningún pueblo indígena","sí","mujer",4011,"2009",5605
"713","empedrado","no pertenece a ningún pueblo indígena","sí","hombre",1277,"2009",7104
"714","empedrado","no pertenece a ningún pueblo indígena","no","hombre",215,"2009",7104
"715","empedrado","no pertenece a ningún pueblo indígena","no","mujer",224,"2009",7104
"716","empedrado","mapuche","sí","mujer",18,"2009",7104
"717","empedrado","no pertenece a ningún pueblo indígena","sí","mujer",1184,"2009",7104
"718","ercilla","no pertenece a ningún pueblo indígena","no","mujer",182,"2009",9204
"719","ercilla","no pertenece a ningún pueblo indígena","sí","hombre",1488,"2009",9204
"720","ercilla","no pertenece a ningún pueblo indígena","sí","mujer",1525,"2009",9204
"721","ercilla","mapuche","sí","hombre",1686,"2009",9204
"722","ercilla","mapuche","no","mujer",308,"2009",9204
"723","ercilla","mapuche","no","hombre",219,"2009",9204
"724","ercilla","mapuche","sí","mujer",1143,"2009",9204
"725","ercilla","no pertenece a ningún pueblo indígena","no","hombre",308,"2009",9204
"726","ercilla","atacameño","sí","mujer",14,"2009",9204
"727","estación central","no pertenece a ningún pueblo indígena","no","hombre",590,"2009",13106
"728","estación central","mapuche","sí","mujer",1419,"2009",13106
"729","estación central","no pertenece a ningún pueblo indígena","sí","mujer",46097,"2009",13106
"730","estación central","no pertenece a ningún pueblo indígena","sí","hombre",38635,"2009",13106
"731","estación central","mapuche","sí","hombre",1542,"2009",13106
"732","estación central","mapuche","no","hombre",68,"2009",13106
"733","estación central","aymara","sí","hombre",196,"2009",13106
"734","estación central","no pertenece a ningún pueblo indígena","no","mujer",1018,"2009",13106
"735","florida","no pertenece a ningún pueblo indígena","sí","hombre",3123,"2009",8104
"736","florida","no pertenece a ningún pueblo indígena","sí","mujer",3417,"2009",8104
"737","florida","no pertenece a ningún pueblo indígena","no","mujer",535,"2009",8104
"738","florida","mapuche","sí","mujer",50,"2009",8104
"739","florida","no pertenece a ningún pueblo indígena","no","hombre",707,"2009",8104
"740","florida","mapuche","sí","hombre",75,"2009",8104
"741","freire","no pertenece a ningún pueblo indígena","sí","hombre",4000,"2009",9105
"742","freire","mapuche","sí","hombre",4744,"2009",9105
"743","freire","mapuche","sí","mujer",4472,"2009",9105
"744","freire","mapuche","no","hombre",365,"2009",9105
"745","freire","mapuche","no","mujer",540,"2009",9105
"746","freire","aymara","no","hombre",159,"2009",9105
"747","freire","no pertenece a ningún pueblo indígena","sí","mujer",5186,"2009",9105
"748","freire","no pertenece a ningún pueblo indígena","no","hombre",171,"2009",9105
"749","freire","no pertenece a ningún pueblo indígena","no","mujer",325,"2009",9105
"750","freirina","mapuche","sí","mujer",10,"2009",3303
"751","freirina","diaguita","no","mujer",10,"2009",3303
"752","freirina","diaguita","sí","mujer",16,"2009",3303
"753","freirina","no pertenece a ningún pueblo indígena","no","mujer",115,"2009",3303
"754","freirina","no pertenece a ningún pueblo indígena","sí","mujer",2125,"2009",3303
"755","freirina","diaguita","no","hombre",10,"2009",3303
"756","freirina","no pertenece a ningún pueblo indígena","sí","hombre",1978,"2009",3303
"757","freirina","aymara","sí","mujer",5,"2009",3303
"758","freirina","no pertenece a ningún pueblo indígena","no","hombre",85,"2009",3303
"759","fresia","no pertenece a ningún pueblo indígena","no","hombre",107,"2009",10104
"760","fresia","no pertenece a ningún pueblo indígena","sí","mujer",4248,"2009",10104
"761","fresia","mapuche","sí","mujer",430,"2009",10104
"762","fresia","no pertenece a ningún pueblo indígena","no","mujer",290,"2009",10104
"763","fresia","mapuche","no","hombre",34,"2009",10104
"764","fresia","mapuche","no","mujer",34,"2009",10104
"765","fresia","no pertenece a ningún pueblo indígena","sí","hombre",3901,"2009",10104
"766","fresia","mapuche","sí","hombre",532,"2009",10104
"767","frutillar","coya","sí","mujer",81,"2009",10105
"768","frutillar","mapuche","no","hombre",119,"2009",10105
"769","frutillar","mapuche","no","mujer",39,"2009",10105
"770","frutillar","no pertenece a ningún pueblo indígena","no","hombre",231,"2009",10105
"771","frutillar","mapuche","sí","mujer",870,"2009",10105
"772","frutillar","rapa nui ","sí","mujer",46,"2009",10105
"773","frutillar","no pertenece a ningún pueblo indígena","no","mujer",445,"2009",10105
"774","frutillar","mapuche","sí","hombre",758,"2009",10105
"775","frutillar","no pertenece a ningún pueblo indígena","sí","hombre",5368,"2009",10105
"776","frutillar","no pertenece a ningún pueblo indígena","sí","mujer",5553,"2009",10105
"777","futaleufú","no pertenece a ningún pueblo indígena","sí","mujer",671,"2009",10402
"778","futaleufú","mapuche","sí","mujer",77,"2009",10402
"779","futaleufú","mapuche","no","hombre",4,"2009",10402
"780","futaleufú","no pertenece a ningún pueblo indígena","sí","hombre",644,"2009",10402
"781","futaleufú","mapuche","sí","hombre",57,"2009",10402
"782","futaleufú","no pertenece a ningún pueblo indígena","no","mujer",34,"2009",10402
"783","futaleufú","no pertenece a ningún pueblo indígena","no","hombre",51,"2009",10402
"784","futaleufú","mapuche","no","mujer",5,"2009",10402
"785","futrono","mapuche","no","hombre",89,"2009",14202
"786","futrono","mapuche","sí","hombre",1070,"2009",14202
"787","futrono","no pertenece a ningún pueblo indígena","no","hombre",302,"2009",14202
"788","futrono","no pertenece a ningún pueblo indígena","sí","mujer",4320,"2009",14202
"789","futrono","mapuche","no","mujer",48,"2009",14202
"790","futrono","no pertenece a ningún pueblo indígena","sí","hombre",4006,"2009",14202
"791","futrono","mapuche","sí","mujer",1077,"2009",14202
"792","futrono","no pertenece a ningún pueblo indígena","no","mujer",346,"2009",14202
"793","galvarino","coya","no","mujer",16,"2009",9106
"794","galvarino","no pertenece a ningún pueblo indígena","sí","hombre",1131,"2009",9106
"795","galvarino","mapuche","sí","mujer",2095,"2009",9106
"796","galvarino","no pertenece a ningún pueblo indígena","sí","mujer",1265,"2009",9106
"797","galvarino","mapuche","no","hombre",414,"2009",9106
"798","galvarino","no pertenece a ningún pueblo indígena","no","mujer",204,"2009",9106
"799","galvarino","mapuche","no","mujer",682,"2009",9106
"800","galvarino","mapuche","sí","hombre",2539,"2009",9106
"801","galvarino","no pertenece a ningún pueblo indígena","no","hombre",172,"2009",9106
"802","general lagos","aymara","no","mujer",160,"2009",15202
"803","general lagos","aymara","sí","mujer",248,"2009",15202
"804","general lagos","aymara","sí","hombre",304,"2009",15202
"805","general lagos","aymara","no","hombre",64,"2009",15202
"806","gorbea","no pertenece a ningún pueblo indígena","no","mujer",353,"2009",9107
"807","gorbea","no pertenece a ningún pueblo indígena","sí","mujer",5558,"2009",9107
"808","gorbea","mapuche","no","hombre",69,"2009",9107
"809","gorbea","mapuche","sí","mujer",645,"2009",9107
"810","gorbea","aymara","sí","mujer",26,"2009",9107
"811","gorbea","no pertenece a ningún pueblo indígena","sí","hombre",4938,"2009",9107
"812","gorbea","mapuche","sí","hombre",544,"2009",9107
"813","gorbea","no pertenece a ningún pueblo indígena","no","hombre",65,"2009",9107
"814","gorbea","mapuche","no","mujer",74,"2009",9107
"815","graneros","no pertenece a ningún pueblo indígena","no","mujer",207,"2009",6106
"816","graneros","mapuche","sí","hombre",566,"2009",6106
"817","graneros","no pertenece a ningún pueblo indígena","no","hombre",307,"2009",6106
"818","graneros","mapuche","sí","mujer",450,"2009",6106
"819","graneros","no pertenece a ningún pueblo indígena","sí","mujer",10112,"2009",6106
"820","graneros","no pertenece a ningún pueblo indígena","sí","hombre",10741,"2009",6106
"821","hijuelas","mapuche","no","hombre",24,"2009",5503
"822","hijuelas","mapuche","sí","mujer",52,"2009",5503
"823","hijuelas","no pertenece a ningún pueblo indígena","no","mujer",684,"2009",5503
"824","hijuelas","no pertenece a ningún pueblo indígena","sí","mujer",6743,"2009",5503
"825","hijuelas","no pertenece a ningún pueblo indígena","sí","hombre",6384,"2009",5503
"826","hijuelas","no pertenece a ningún pueblo indígena","no","hombre",1036,"2009",5503
"827","hualaihué","kawésqar","no","hombre",8,"2009",10403
"828","hualaihué","no pertenece a ningún pueblo indígena","sí","mujer",2000,"2009",10403
"829","hualaihué","kawésqar","sí","hombre",8,"2009",10403
"830","hualaihué","no pertenece a ningún pueblo indígena","no","mujer",105,"2009",10403
"831","hualaihué","mapuche","no","mujer",59,"2009",10403
"832","hualaihué","kawésqar","sí","mujer",8,"2009",10403
"833","hualaihué","mapuche","no","hombre",24,"2009",10403
"834","hualaihué","quechua","sí","mujer",9,"2009",10403
"835","hualaihué","no pertenece a ningún pueblo indígena","sí","hombre",1749,"2009",10403
"836","hualaihué","mapuche","sí","mujer",664,"2009",10403
"837","hualaihué","mapuche","sí","hombre",904,"2009",10403
"838","hualaihué","no pertenece a ningún pueblo indígena","no","hombre",78,"2009",10403
"839","hualañé","no pertenece a ningún pueblo indígena","sí","hombre",3374,"2009",7302
"840","hualañé","no pertenece a ningún pueblo indígena","no","mujer",538,"2009",7302
"841","hualañé","mapuche","sí","hombre",26,"2009",7302
"842","hualañé","mapuche","sí","mujer",36,"2009",7302
"843","hualañé","no pertenece a ningún pueblo indígena","no","hombre",505,"2009",7302
"844","hualañé","no pertenece a ningún pueblo indígena","sí","mujer",3471,"2009",7302
"845","hualpén","no pertenece a ningún pueblo indígena","no","mujer",1449,"2009",8112
"846","hualpén","mapuche","sí","mujer",610,"2009",8112
"847","hualpén","no pertenece a ningún pueblo indígena","sí","mujer",35893,"2009",8112
"848","hualpén","mapuche","sí","hombre",980,"2009",8112
"849","hualpén","atacameño","sí","mujer",66,"2009",8112
"850","hualpén","no pertenece a ningún pueblo indígena","sí","hombre",29903,"2009",8112
"851","hualpén","no pertenece a ningún pueblo indígena","no","hombre",577,"2009",8112
"852","hualpén","atacameño","sí","hombre",132,"2009",8112
"853","hualqui","mapuche","sí","mujer",211,"2009",8105
"854","hualqui","no pertenece a ningún pueblo indígena","sí","mujer",8621,"2009",8105
"855","hualqui","no pertenece a ningún pueblo indígena","no","mujer",420,"2009",8105
"856","hualqui","no pertenece a ningún pueblo indígena","sí","hombre",7059,"2009",8105
"857","hualqui","no pertenece a ningún pueblo indígena","no","hombre",422,"2009",8105
"858","hualqui","mapuche","no","mujer",39,"2009",8105
"859","hualqui","mapuche","sí","hombre",188,"2009",8105
"860","huara","no pertenece a ningún pueblo indígena","no","mujer",48,"2009",1404
"861","huara","no pertenece a ningún pueblo indígena","sí","mujer",341,"2009",1404
"862","huara","mapuche","sí","hombre",4,"2009",1404
"863","huara","aymara","no","mujer",181,"2009",1404
"864","huara","no pertenece a ningún pueblo indígena","sí","hombre",363,"2009",1404
"865","huara","mapuche","sí","mujer",14,"2009",1404
"866","huara","aymara","sí","hombre",623,"2009",1404
"867","huara","quechua","sí","mujer",6,"2009",1404
"868","huara","aymara","sí","mujer",579,"2009",1404
"869","huara","no pertenece a ningún pueblo indígena","no","hombre",41,"2009",1404
"870","huara","aymara","no","hombre",82,"2009",1404
"871","huara","quechua","sí","hombre",6,"2009",1404
"872","huasco","diaguita","sí","mujer",72,"2009",3304
"873","huasco","mapuche","sí","mujer",100,"2009",3304
"874","huasco","mapuche","sí","hombre",45,"2009",3304
"875","huasco","diaguita","no","hombre",16,"2009",3304
"876","huasco","no pertenece a ningún pueblo indígena","no","mujer",110,"2009",3304
"877","huasco","aymara","no","hombre",14,"2009",3304
"878","huasco","coya","sí","mujer",16,"2009",3304
"879","huasco","no pertenece a ningún pueblo indígena","no","hombre",75,"2009",3304
"880","huasco","diaguita","sí","hombre",46,"2009",3304
"881","huasco","aymara","sí","mujer",32,"2009",3304
"882","huasco","no pertenece a ningún pueblo indígena","sí","mujer",2805,"2009",3304
"883","huasco","coya","sí","hombre",16,"2009",3304
"884","huasco","no pertenece a ningún pueblo indígena","sí","hombre",2428,"2009",3304
"885","huasco","aymara","sí","hombre",64,"2009",3304
"886","huechuraba","quechua","sí","mujer",63,"2009",13107
"887","huechuraba","no pertenece a ningún pueblo indígena","sí","mujer",29110,"2009",13107
"888","huechuraba","mapuche","sí","hombre",1306,"2009",13107
"889","huechuraba","no pertenece a ningún pueblo indígena","no","mujer",593,"2009",13107
"890","huechuraba","no pertenece a ningún pueblo indígena","sí","hombre",31639,"2009",13107
"891","huechuraba","no pertenece a ningún pueblo indígena","no","hombre",1394,"2009",13107
"892","huechuraba","mapuche","sí","mujer",1443,"2009",13107
"893","illapel","diaguita","sí","mujer",49,"2009",4201
"894","illapel","mapuche","sí","mujer",165,"2009",4201
"895","illapel","no pertenece a ningún pueblo indígena","sí","hombre",10882,"2009",4201
"896","illapel","no pertenece a ningún pueblo indígena","no","mujer",966,"2009",4201
"897","illapel","no pertenece a ningún pueblo indígena","no","hombre",744,"2009",4201
"898","illapel","no pertenece a ningún pueblo indígena","sí","mujer",11457,"2009",4201
"899","illapel","mapuche","sí","hombre",52,"2009",4201
"900","independencia","rapa nui ","sí","mujer",74,"2009",13108
"901","independencia","no pertenece a ningún pueblo indígena","no","mujer",200,"2009",13108
"902","independencia","diaguita","sí","hombre",69,"2009",13108
"903","independencia","mapuche","sí","mujer",130,"2009",13108
"904","independencia","no pertenece a ningún pueblo indígena","sí","hombre",18600,"2009",13108
"905","independencia","no pertenece a ningún pueblo indígena","no","hombre",75,"2009",13108
"906","independencia","mapuche","sí","hombre",444,"2009",13108
"907","independencia","diaguita","sí","mujer",207,"2009",13108
"908","independencia","no pertenece a ningún pueblo indígena","sí","mujer",21118,"2009",13108
"909","iquique","aymara","sí","hombre",3026,"2009",1101
"910","iquique","quechua","no","hombre",148,"2009",1101
"911","iquique","aymara","no","mujer",121,"2009",1101
"912","iquique","quechua","sí","hombre",417,"2009",1101
"913","iquique","no pertenece a ningún pueblo indígena","no","mujer",1311,"2009",1101
"914","iquique","mapuche","sí","mujer",264,"2009",1101
"915","iquique","mapuche","sí","hombre",2272,"2009",1101
"916","iquique","no pertenece a ningún pueblo indígena","sí","mujer",66421,"2009",1101
"917","iquique","no pertenece a ningún pueblo indígena","no","hombre",429,"2009",1101
"918","iquique","atacameño","sí","hombre",148,"2009",1101
"919","iquique","diaguita","sí","mujer",121,"2009",1101
"920","iquique","quechua","sí","mujer",895,"2009",1101
"921","iquique","no pertenece a ningún pueblo indígena","sí","hombre",53337,"2009",1101
"922","iquique","aymara","sí","mujer",2060,"2009",1101
"923","iquique","atacameño","sí","mujer",11,"2009",1101
"924","isla de maipo","mapuche","sí","hombre",340,"2009",13603
"925","isla de maipo","no pertenece a ningún pueblo indígena","no","mujer",444,"2009",13603
"926","isla de maipo","no pertenece a ningún pueblo indígena","no","hombre",420,"2009",13603
"927","isla de maipo","no pertenece a ningún pueblo indígena","sí","mujer",11068,"2009",13603
"928","isla de maipo","mapuche","sí","mujer",706,"2009",13603
"929","isla de maipo","no pertenece a ningún pueblo indígena","sí","hombre",10570,"2009",13603
"930","isla de maipo","mapuche","no","mujer",31,"2009",13603
"931","la calera","mapuche","sí","hombre",393,"2009",5502
"932","la calera","mapuche","no","hombre",126,"2009",5502
"933","la calera","no pertenece a ningún pueblo indígena","sí","mujer",21799,"2009",5502
"934","la calera","no pertenece a ningún pueblo indígena","no","mujer",1424,"2009",5502
"935","la calera","no pertenece a ningún pueblo indígena","sí","hombre",17182,"2009",5502
"936","la calera","no pertenece a ningún pueblo indígena","no","hombre",1303,"2009",5502
"937","la calera","aymara","sí","mujer",98,"2009",5502
"938","la calera","aymara","sí","hombre",196,"2009",5502
"939","la calera","mapuche","sí","mujer",178,"2009",5502
"940","la cisterna","mapuche","sí","hombre",246,"2009",13109
"941","la cisterna","rapa nui ","sí","mujer",86,"2009",13109
"942","la cisterna","no pertenece a ningún pueblo indígena","sí","mujer",32733,"2009",13109
"943","la cisterna","rapa nui ","sí","hombre",207,"2009",13109
"944","la cisterna","mapuche","sí","mujer",534,"2009",13109
"945","la cisterna","no pertenece a ningún pueblo indígena","no","hombre",315,"2009",13109
"946","la cisterna","no pertenece a ningún pueblo indígena","sí","hombre",26190,"2009",13109
"947","la cisterna","no pertenece a ningún pueblo indígena","no","mujer",347,"2009",13109
"948","la cruz","mapuche","sí","hombre",62,"2009",5504
"949","la cruz","no pertenece a ningún pueblo indígena","no","hombre",195,"2009",5504
"950","la cruz","atacameño","sí","hombre",19,"2009",5504
"951","la cruz","no pertenece a ningún pueblo indígena","no","mujer",185,"2009",5504
"952","la cruz","no pertenece a ningún pueblo indígena","sí","mujer",6197,"2009",5504
"953","la cruz","no pertenece a ningún pueblo indígena","sí","hombre",5495,"2009",5504
"954","la cruz","mapuche","sí","mujer",103,"2009",5504
"955","la estrella","mapuche","sí","mujer",6,"2009",6202
"956","la estrella","aymara","sí","mujer",6,"2009",6202
"957","la estrella","no pertenece a ningún pueblo indígena","sí","hombre",1364,"2009",6202
"958","la estrella","no pertenece a ningún pueblo indígena","no","hombre",84,"2009",6202
"959","la estrella","no pertenece a ningún pueblo indígena","no","mujer",74,"2009",6202
"960","la estrella","no pertenece a ningún pueblo indígena","sí","mujer",1484,"2009",6202
"961","la florida","no pertenece a ningún pueblo indígena","no","mujer",2992,"2009",13110
"962","la florida","no pertenece a ningún pueblo indígena","sí","hombre",143371,"2009",13110
"963","la florida","no pertenece a ningún pueblo indígena","no","hombre",1587,"2009",13110
"964","la florida","mapuche","sí","hombre",5536,"2009",13110
"965","la florida","mapuche","no","hombre",552,"2009",13110
"966","la florida","no pertenece a ningún pueblo indígena","sí","mujer",156620,"2009",13110
"967","la florida","mapuche","sí","mujer",6290,"2009",13110
"968","la granja","no pertenece a ningún pueblo indígena","sí","hombre",43642,"2009",13111
"969","la granja","atacameño","sí","mujer",114,"2009",13111
"970","la granja","no pertenece a ningún pueblo indígena","no","hombre",1317,"2009",13111
"971","la granja","mapuche","sí","hombre",1248,"2009",13111
"972","la granja","mapuche","no","mujer",140,"2009",13111
"973","la granja","no pertenece a ningún pueblo indígena","sí","mujer",49666,"2009",13111
"974","la granja","mapuche","sí","mujer",2046,"2009",13111
"975","la granja","no pertenece a ningún pueblo indígena","no","mujer",2001,"2009",13111
"976","la higuera","diaguita","sí","mujer",20,"2009",4104
"977","la higuera","mapuche","sí","hombre",9,"2009",4104
"978","la higuera","no pertenece a ningún pueblo indígena","sí","hombre",1262,"2009",4104
"979","la higuera","no pertenece a ningún pueblo indígena","no","mujer",182,"2009",4104
"980","la higuera","no pertenece a ningún pueblo indígena","sí","mujer",1309,"2009",4104
"981","la higuera","no pertenece a ningún pueblo indígena","no","hombre",220,"2009",4104
"982","la higuera","diaguita","sí","hombre",6,"2009",4104
"983","la higuera","mapuche","no","mujer",9,"2009",4104
"984","la ligua","mapuche","sí","hombre",106,"2009",5401
"985","la ligua","atacameño","sí","hombre",98,"2009",5401
"986","la ligua","no pertenece a ningún pueblo indígena","sí","hombre",14558,"2009",5401
"987","la ligua","mapuche","sí","mujer",115,"2009",5401
"988","la ligua","no pertenece a ningún pueblo indígena","sí","mujer",13963,"2009",5401
"989","la ligua","no pertenece a ningún pueblo indígena","no","hombre",536,"2009",5401
"990","la ligua","no pertenece a ningún pueblo indígena","no","mujer",699,"2009",5401
"991","la ligua","atacameño","sí","mujer",212,"2009",5401
"992","la pintana","no pertenece a ningún pueblo indígena","sí","mujer",70959,"2009",13112
"993","la pintana","aymara","sí","mujer",159,"2009",13112
"994","la pintana","mapuche","sí","hombre",2778,"2009",13112
"995","la pintana","aymara","sí","hombre",340,"2009",13112
"996","la pintana","no pertenece a ningún pueblo indígena","sí","hombre",65570,"2009",13112
"997","la pintana","no pertenece a ningún pueblo indígena","no","mujer",3178,"2009",13112
"998","la pintana","no pertenece a ningún pueblo indígena","no","hombre",2737,"2009",13112
"999","la pintana","mapuche","sí","mujer",4246,"2009",13112
"1000","la pintana","mapuche","no","hombre",145,"2009",13112
"1001","la pintana","mapuche","no","mujer",145,"2009",13112
"1002","la reina","no pertenece a ningún pueblo indígena","sí","hombre",34236,"2009",13113
"1003","la reina","mapuche","sí","mujer",1794,"2009",13113
"1004","la reina","no pertenece a ningún pueblo indígena","sí","mujer",41005,"2009",13113
"1005","la reina","no pertenece a ningún pueblo indígena","no","mujer",227,"2009",13113
"1006","la reina","no pertenece a ningún pueblo indígena","no","hombre",219,"2009",13113
"1007","la reina","diaguita","sí","hombre",210,"2009",13113
"1008","la reina","mapuche","sí","hombre",1272,"2009",13113
"1009","la serena","mapuche","sí","mujer",696,"2009",4101
"1010","la serena","diaguita","sí","mujer",184,"2009",4101
"1011","la serena","atacameño","sí","hombre",224,"2009",4101
"1012","la serena","aymara","no","mujer",165,"2009",4101
"1013","la serena","no pertenece a ningún pueblo indígena","no","hombre",1323,"2009",4101
"1014","la serena","mapuche","sí","hombre",1396,"2009",4101
"1015","la serena","aymara","sí","hombre",384,"2009",4101
"1016","la serena","no pertenece a ningún pueblo indígena","sí","hombre",72074,"2009",4101
"1017","la serena","mapuche","no","mujer",84,"2009",4101
"1018","la serena","diaguita","sí","hombre",234,"2009",4101
"1019","la serena","no pertenece a ningún pueblo indígena","no","mujer",2317,"2009",4101
"1020","la serena","aymara","sí","mujer",384,"2009",4101
"1021","la serena","no pertenece a ningún pueblo indígena","sí","mujer",80603,"2009",4101
"1022","la unión","mapuche","sí","hombre",1584,"2009",14201
"1023","la unión","no pertenece a ningún pueblo indígena","sí","mujer",12428,"2009",14201
"1024","la unión","mapuche","no","hombre",188,"2009",14201
"1025","la unión","mapuche","no","mujer",102,"2009",14201
"1026","la unión","no pertenece a ningún pueblo indígena","no","mujer",954,"2009",14201
"1027","la unión","no pertenece a ningún pueblo indígena","no","hombre",389,"2009",14201
"1028","la unión","mapuche","sí","mujer",2054,"2009",14201
"1029","la unión","no pertenece a ningún pueblo indígena","sí","hombre",11107,"2009",14201
"1030","lago ranco","no pertenece a ningún pueblo indígena","no","hombre",162,"2009",14203
"1031","lago ranco","mapuche","no","hombre",83,"2009",14203
"1032","lago ranco","no pertenece a ningún pueblo indígena","no","mujer",264,"2009",14203
"1033","lago ranco","mapuche","sí","mujer",1415,"2009",14203
"1034","lago ranco","no pertenece a ningún pueblo indígena","sí","mujer",2138,"2009",14203
