"","Group.1","Group.2","Group.3","Group.4","mean.dataset2006_final$ytotaj"
"783","los angeles ","sí","no pertenece a ningún pueblo indígena","hombre",374907.628691983
"784","antuco ","sí","no pertenece a ningún pueblo indígena","hombre",256680.246753247
"785","cabrero ","sí","no pertenece a ningún pueblo indígena","hombre",258448.867549669
"786","laja ","sí","no pertenece a ningún pueblo indígena","hombre",372143.920731707
"787","mulchén ","sí","no pertenece a ningún pueblo indígena","hombre",201592.306451613
"788","nacimiento ","sí","no pertenece a ningún pueblo indígena","hombre",275039.157894737
"789","negrete ","sí","no pertenece a ningún pueblo indígena","hombre",256652.754601227
"790","quilaco ","sí","no pertenece a ningún pueblo indígena","hombre",182909.588235294
"791","quilleco","sí","no pertenece a ningún pueblo indígena","hombre",189110.935064935
"792","san rosendo ","sí","no pertenece a ningún pueblo indígena","hombre",252704.52238806
"793","santa bárbara ","sí","no pertenece a ningún pueblo indígena","hombre",219745.93452381
"794","tucapel","sí","no pertenece a ningún pueblo indígena","hombre",264108.251572327
"795","yumbel ","sí","no pertenece a ningún pueblo indígena","hombre",217561.20886076
"796","alto bío bío ","sí","no pertenece a ningún pueblo indígena","hombre",222673.169491525
"797","chillán ","sí","no pertenece a ningún pueblo indígena","hombre",323258.751072961
"798","bulnes ","sí","no pertenece a ningún pueblo indígena","hombre",261554.975757576
"799","cobquecura ","sí","no pertenece a ningún pueblo indígena","hombre",144826.196969697
"800","coelemu ","sí","no pertenece a ningún pueblo indígena","hombre",276682.414473684
"801","coihueco ","sí","no pertenece a ningún pueblo indígena","hombre",229596.474025974
"802","chillán viejo ","sí","no pertenece a ningún pueblo indígena","hombre",328388.42
"803","el carmen ","sí","no pertenece a ningún pueblo indígena","hombre",170713.050359712
"804","ninhue ","sí","no pertenece a ningún pueblo indígena","hombre",227101.456
"805","Ñiquén ","sí","no pertenece a ningún pueblo indígena","hombre",200551.284023669
"806","pemuco ","sí","no pertenece a ningún pueblo indígena","hombre",178651.357541899
"807","pinto ","sí","no pertenece a ningún pueblo indígena","hombre",227578.641975309
"808","portezuelo ","sí","no pertenece a ningún pueblo indígena","hombre",162429.259259259
"809","quillón ","sí","no pertenece a ningún pueblo indígena","hombre",253991.676829268
"810","quirihue ","sí","no pertenece a ningún pueblo indígena","hombre",292216.044871795
"811","ránquil ","sí","no pertenece a ningún pueblo indígena","hombre",251058.017964072
"812","san carlos ","sí","no pertenece a ningún pueblo indígena","hombre",418404.834319527
"813","san fabián ","sí","no pertenece a ningún pueblo indígena","hombre",249983.507936508
"814","san ignacio ","sí","no pertenece a ningún pueblo indígena","hombre",138861.639097744
"815","san nicolás ","sí","no pertenece a ningún pueblo indígena","hombre",167719.054263566
"816","trehuaco ","sí","no pertenece a ningún pueblo indígena","hombre",210437.529411765
"817","yungay ","sí","no pertenece a ningún pueblo indígena","hombre",238504.246987952
"818","temuco ","sí","no pertenece a ningún pueblo indígena","hombre",436470.86
"819","carahue ","sí","no pertenece a ningún pueblo indígena","hombre",226292.133333333
"820","cunco ","sí","no pertenece a ningún pueblo indígena","hombre",272143.642857143
"821","curarrehue ","sí","no pertenece a ningún pueblo indígena","hombre",270102.842857143
"822","freire ","sí","no pertenece a ningún pueblo indígena","hombre",203505.920454545
"823","galvarino ","sí","no pertenece a ningún pueblo indígena","hombre",576009.901960784
"824","gorbea ","sí","no pertenece a ningún pueblo indígena","hombre",209766.45
"825","lautaro ","sí","no pertenece a ningún pueblo indígena","hombre",273152.547008547
"826","loncoche ","sí","no pertenece a ningún pueblo indígena","hombre",259004.811965812
"827","melipeuco ","sí","no pertenece a ningún pueblo indígena","hombre",225981.842696629
"828","nueva imperial ","sí","no pertenece a ningún pueblo indígena","hombre",368191.544117647
"829","padre las casas ","sí","no pertenece a ningún pueblo indígena","hombre",366825.944444444
"830","perquenco ","sí","no pertenece a ningún pueblo indígena","hombre",293834.465909091
"831","pitrufquén ","sí","no pertenece a ningún pueblo indígena","hombre",283696.317829457
"832","pucón ","sí","no pertenece a ningún pueblo indígena","hombre",565308.589041096
"833","saavedra ","sí","no pertenece a ningún pueblo indígena","hombre",310180.125
"834","teodoro schimdt ","sí","no pertenece a ningún pueblo indígena","hombre",223472.895522388
"835","toltén ","sí","no pertenece a ningún pueblo indígena","hombre",207240.368852459
"836","vilcún ","sí","no pertenece a ningún pueblo indígena","hombre",384398.103174603
"837","villarrica ","sí","no pertenece a ningún pueblo indígena","hombre",240402.49375
"838","cholchol ","sí","no pertenece a ningún pueblo indígena","hombre",194233.555555556
"839","angol ","sí","no pertenece a ningún pueblo indígena","hombre",306347.901098901
"840","collipulli ","sí","no pertenece a ningún pueblo indígena","hombre",276509.949579832
"841","curacautín ","sí","no pertenece a ningún pueblo indígena","hombre",233071.069364162
"842","ercilla ","sí","no pertenece a ningún pueblo indígena","hombre",220740.861702128
"843","lonquimay ","sí","no pertenece a ningún pueblo indígena","hombre",247988.590163934
"844","los sauces ","sí","no pertenece a ningún pueblo indígena","hombre",180640.801801802
"845","lumaco ","sí","no pertenece a ningún pueblo indígena","hombre",341807.758241758
"846","purén ","sí","no pertenece a ningún pueblo indígena","hombre",249415.572580645
"847","renaico ","sí","no pertenece a ningún pueblo indígena","hombre",220987.060606061
"848","traiguén ","sí","no pertenece a ningún pueblo indígena","hombre",246418.261538462
"849","victoria ","sí","no pertenece a ningún pueblo indígena","hombre",293965.937931034
"850","puerto montt ","sí","no pertenece a ningún pueblo indígena","hombre",370656.025125628
"851","calbuco ","sí","no pertenece a ningún pueblo indígena","hombre",339315.680555556
"852","cochamó ","sí","no pertenece a ningún pueblo indígena","hombre",325667.66
"853","fresia ","sí","no pertenece a ningún pueblo indígena","hombre",314457.52
"854","frutillar ","sí","no pertenece a ningún pueblo indígena","hombre",549459.825503356
"855","los muermos ","sí","no pertenece a ningún pueblo indígena","hombre",351700.335195531
"856","llanquihue ","sí","no pertenece a ningún pueblo indígena","hombre",325796.232142857
"857","maullín ","sí","no pertenece a ningún pueblo indígena","hombre",312750.953947368
"858","puerto varas ","sí","no pertenece a ningún pueblo indígena","hombre",528980.857142857
"859","castro ","sí","no pertenece a ningún pueblo indígena","hombre",441835.157575758
"860","ancud ","sí","no pertenece a ningún pueblo indígena","hombre",348433.005988024
"861","chonchi ","sí","no pertenece a ningún pueblo indígena","hombre",309320.594202899
"862","curaco de vélez ","sí","no pertenece a ningún pueblo indígena","hombre",281550.28742515
"863","dalcahue ","sí","no pertenece a ningún pueblo indígena","hombre",316818.465968586
"864","puqueldón ","sí","no pertenece a ningún pueblo indígena","hombre",255210.138211382
"865","queilén ","sí","no pertenece a ningún pueblo indígena","hombre",263300.5546875
"866","quellón ","sí","no pertenece a ningún pueblo indígena","hombre",414770.304347826
"867","quemchi ","sí","no pertenece a ningún pueblo indígena","hombre",313334.378378378
"868","quinchao ","sí","no pertenece a ningún pueblo indígena","hombre",367883.131034483
"869","osorno ","sí","no pertenece a ningún pueblo indígena","hombre",343819.747252747
"870","puerto octay ","sí","no pertenece a ningún pueblo indígena","hombre",370045.593333333
"871","purranque ","sí","no pertenece a ningún pueblo indígena","hombre",283106.48427673
"872","puyehue ","sí","no pertenece a ningún pueblo indígena","hombre",348293.191358025
"873","río negro ","sí","no pertenece a ningún pueblo indígena","hombre",526209.885135135
"874","san juan de la costa ","sí","no pertenece a ningún pueblo indígena","hombre",193367.730769231
"875","san pablo ","sí","no pertenece a ningún pueblo indígena","hombre",364172.283333333
"876","chaitén ","sí","no pertenece a ningún pueblo indígena","hombre",380128.017241379
"877","futaleufú ","sí","no pertenece a ningún pueblo indígena","hombre",525426.364864865
"878","hualaihué ","sí","no pertenece a ningún pueblo indígena","hombre",369719.833333333
"879","palena ","sí","no pertenece a ningún pueblo indígena","hombre",375622.882352941
"880","valdivia ","sí","no pertenece a ningún pueblo indígena","hombre",365977.308080808
"881","corral ","sí","no pertenece a ningún pueblo indígena","hombre",221402.541666667
"882","futrono ","sí","no pertenece a ningún pueblo indígena","hombre",270439.623287671
"883","la unión ","sí","no pertenece a ningún pueblo indígena","hombre",359954.90647482
"884","lago ranco ","sí","no pertenece a ningún pueblo indígena","hombre",248571.7734375
"885","lanco ","sí","no pertenece a ningún pueblo indígena","hombre",238686.484848485
"886","los lagos ","sí","no pertenece a ningún pueblo indígena","hombre",365323.860465116
"887","máfil ","sí","no pertenece a ningún pueblo indígena","hombre",386879.301886792
"888","mariquina ","sí","no pertenece a ningún pueblo indígena","hombre",379788.682926829
"889","paillaco ","sí","no pertenece a ningún pueblo indígena","hombre",244695.024539877
"890","panguipulli ","sí","no pertenece a ningún pueblo indígena","hombre",317340.073684211
"891","río bueno ","sí","no pertenece a ningún pueblo indígena","hombre",305771.819672131
"892","coyhaique ","sí","no pertenece a ningún pueblo indígena","hombre",392908.685990338
"893","aisén ","sí","no pertenece a ningún pueblo indígena","hombre",384256.648648649
"894","cisnes ","sí","no pertenece a ningún pueblo indígena","hombre",445178.109756098
"895","cochrane ","sí","no pertenece a ningún pueblo indígena","hombre",479202.323943662
"896","chile chico ","sí","no pertenece a ningún pueblo indígena","hombre",536568.375
"897","río ibáñez ","sí","no pertenece a ningún pueblo indígena","hombre",266304.551020408
"898","punta arenas ","sí","no pertenece a ningún pueblo indígena","hombre",509743.30125523
"899","san gregorio ","sí","no pertenece a ningún pueblo indígena","hombre",401228.204081633
"900","cabo de hornos ","sí","no pertenece a ningún pueblo indígena","hombre",584126.720930233
"901","porvenir ","sí","no pertenece a ningún pueblo indígena","hombre",524222.140939597
"902","primavera ","sí","no pertenece a ningún pueblo indígena","hombre",449644.441558442
"903","natales ","sí","no pertenece a ningún pueblo indígena","hombre",487471.777227723
"904","santiago ","sí","no pertenece a ningún pueblo indígena","hombre",632944.829896907
"905","cerrillos ","sí","no pertenece a ningún pueblo indígena","hombre",514170.186528497
"906","cerro navia ","sí","no pertenece a ningún pueblo indígena","hombre",263664.317757009
"907","conchalí ","sí","no pertenece a ningún pueblo indígena","hombre",365654.45412844
"908","el bosque ","sí","no pertenece a ningún pueblo indígena","hombre",307593.5
"909","estación central ","sí","no pertenece a ningún pueblo indígena","hombre",389563.656652361
"910","huechuraba ","sí","no pertenece a ningún pueblo indígena","hombre",509531.190697674
"911","independencia ","sí","no pertenece a ningún pueblo indígena","hombre",395123.37755102
"912","la cisterna ","sí","no pertenece a ningún pueblo indígena","hombre",504809.891025641
"913","la florida ","sí","no pertenece a ningún pueblo indígena","hombre",564389.506329114
"914","la granja ","sí","no pertenece a ningún pueblo indígena","hombre",291534.457013575
"915","la pintana ","sí","no pertenece a ningún pueblo indígena","hombre",287984.739130435
"916","la reina ","sí","no pertenece a ningún pueblo indígena","hombre",727697.491620112
"917","las condes ","sí","no pertenece a ningún pueblo indígena","hombre",1456785.18471338
"918","lo barnechea ","sí","no pertenece a ningún pueblo indígena","hombre",1239825.69230769
"919","lo espejo ","sí","no pertenece a ningún pueblo indígena","hombre",267108.545023697
"920","lo prado ","sí","no pertenece a ningún pueblo indígena","hombre",335757.798816568
"921","macul ","sí","no pertenece a ningún pueblo indígena","hombre",354822.141414141
"922","maipú ","sí","no pertenece a ningún pueblo indígena","hombre",549141.920168067
"923","Ñuñoa ","sí","no pertenece a ningún pueblo indígena","hombre",1036903.98536585
"924","pedro aguirre cerda ","sí","no pertenece a ningún pueblo indígena","hombre",350919.688888889
"925","peñalolén ","sí","no pertenece a ningún pueblo indígena","hombre",506168.173076923
"926","providencia ","sí","no pertenece a ningún pueblo indígena","hombre",1279803.36065574
"927","pudahuel ","sí","no pertenece a ningún pueblo indígena","hombre",432965.353488372
"928","quilicura ","sí","no pertenece a ningún pueblo indígena","hombre",454448.701149425
"929","quinta normal ","sí","no pertenece a ningún pueblo indígena","hombre",362657.108695652
"930","recoleta ","sí","no pertenece a ningún pueblo indígena","hombre",310714.553299492
"931","renca ","sí","no pertenece a ningún pueblo indígena","hombre",326050.77
"932","san joaquín ","sí","no pertenece a ningún pueblo indígena","hombre",351998.315789474
"933","san miguel ","sí","no pertenece a ningún pueblo indígena","hombre",751610.87962963
"934","san ramón ","sí","no pertenece a ningún pueblo indígena","hombre",265004.422459893
"935","vitacura ","sí","no pertenece a ningún pueblo indígena","hombre",2618977.35877863
"936","puente alto ","sí","no pertenece a ningún pueblo indígena","hombre",487357.559241706
"937","pirque ","sí","no pertenece a ningún pueblo indígena","hombre",457744.838842975
"938","san josé de maipo ","sí","no pertenece a ningún pueblo indígena","hombre",451821.582857143
"939","colina ","sí","no pertenece a ningún pueblo indígena","hombre",559146.025316456
"940","lampa ","sí","no pertenece a ningún pueblo indígena","hombre",263220.488372093
"941","tiltil ","sí","no pertenece a ningún pueblo indígena","hombre",316695.177884615
"942","san bernardo ","sí","no pertenece a ningún pueblo indígena","hombre",386789.904109589
"943","buin ","sí","no pertenece a ningún pueblo indígena","hombre",309841.380208333
"944","calera de tango ","sí","no pertenece a ningún pueblo indígena","hombre",529866.577272727
"945","paine ","sí","no pertenece a ningún pueblo indígena","hombre",287567.470588235
"946","melipilla ","sí","no pertenece a ningún pueblo indígena","hombre",354801.192488263
"947","alhué ","sí","no pertenece a ningún pueblo indígena","hombre",248822.456790123
"948","curacaví ","sí","no pertenece a ningún pueblo indígena","hombre",515846.696517413
"949","maría pinto ","sí","no pertenece a ningún pueblo indígena","hombre",245569.698492462
"950","san pedro ","sí","no pertenece a ningún pueblo indígena","hombre",254649.96
"951","talagante ","sí","no pertenece a ningún pueblo indígena","hombre",674862.164251208
"952","el monte ","sí","no pertenece a ningún pueblo indígena","hombre",320798.96460177
"953","isla de maipo ","sí","no pertenece a ningún pueblo indígena","hombre",334642.154255319
"954","padre hurtado ","sí","no pertenece a ningún pueblo indígena","hombre",295460.433962264
"955","peñaflor ","sí","no pertenece a ningún pueblo indígena","hombre",331871.948356808
"956","iquique ","no","no pertenece a ningún pueblo indígena","hombre",107966.222222222
"957","camiña ","no","no pertenece a ningún pueblo indígena","hombre",69160
"958","huara ","no","no pertenece a ningún pueblo indígena","hombre",132632.444444444
"959","pozo almonte ","no","no pertenece a ningún pueblo indígena","hombre",123984
"960","alto hospicio ","no","no pertenece a ningún pueblo indígena","hombre",116799
"961","arica ","no","no pertenece a ningún pueblo indígena","hombre",90268
"962","camarones ","no","no pertenece a ningún pueblo indígena","hombre",322590.75
"963","putre ","no","no pertenece a ningún pueblo indígena","hombre",85576
"964","antofagasta ","no","no pertenece a ningún pueblo indígena","hombre",76712
"965","mejillones ","no","no pertenece a ningún pueblo indígena","hombre",55729.5
"966","sierra gorda ","no","no pertenece a ningún pueblo indígena","hombre",207969.2
"967","taltal ","no","no pertenece a ningún pueblo indígena","hombre",136426.285714286
"968","calama ","no","no pertenece a ningún pueblo indígena","hombre",144081.571428571
"969","san pedro de atacama ","no","no pertenece a ningún pueblo indígena","hombre",268158
"970","tocopilla ","no","no pertenece a ningún pueblo indígena","hombre",114041.5
"971","maría elena ","no","no pertenece a ningún pueblo indígena","hombre",175842.5
"972","copiapó ","no","no pertenece a ningún pueblo indígena","hombre",163621.625
"973","caldera ","no","no pertenece a ningún pueblo indígena","hombre",200166.7
"974","tierra amarilla ","no","no pertenece a ningún pueblo indígena","hombre",191025.545454545
"975","chañaral ","no","no pertenece a ningún pueblo indígena","hombre",180626.875
"976","diego de almagro ","no","no pertenece a ningún pueblo indígena","hombre",156397.333333333
"977","vallenar ","no","no pertenece a ningún pueblo indígena","hombre",278432.555555556
"978","alto del carmen ","no","no pertenece a ningún pueblo indígena","hombre",118498.411764706
"979","freirina ","no","no pertenece a ningún pueblo indígena","hombre",118974.923076923
"980","huasco ","no","no pertenece a ningún pueblo indígena","hombre",134047.8
"981","la serena ","no","no pertenece a ningún pueblo indígena","hombre",112456.7
"982","coquimbo ","no","no pertenece a ningún pueblo indígena","hombre",88459.5555555556
"983","andacollo ","no","no pertenece a ningún pueblo indígena","hombre",107256.823529412
"984","la higuera ","no","no pertenece a ningún pueblo indígena","hombre",283146.904761905
"985","paihuano ","no","no pertenece a ningún pueblo indígena","hombre",161101.9375
"986","vicuña ","no","no pertenece a ningún pueblo indígena","hombre",185669.888888889
"987","illapel ","no","no pertenece a ningún pueblo indígena","hombre",201490
"988","canela ","no","no pertenece a ningún pueblo indígena","hombre",172824.615384615
"989","los vilos ","no","no pertenece a ningún pueblo indígena","hombre",207651.421052632
"990","salamanca ","no","no pertenece a ningún pueblo indígena","hombre",101419.571428571
"991","ovalle ","no","no pertenece a ningún pueblo indígena","hombre",141121.888888889
"992","combarbalá ","no","no pertenece a ningún pueblo indígena","hombre",112120.571428571
"993","monte patria ","no","no pertenece a ningún pueblo indígena","hombre",150019.166666667
"994","punitaqui ","no","no pertenece a ningún pueblo indígena","hombre",150427.64
"995","río hurtado ","no","no pertenece a ningún pueblo indígena","hombre",174888.277777778
"996","valparaíso ","no","no pertenece a ningún pueblo indígena","hombre",134178.5
"997","casablanca ","no","no pertenece a ningún pueblo indígena","hombre",142469.384615385
"998","concón ","no","no pertenece a ningún pueblo indígena","hombre",227340
"999","puchuncaví ","no","no pertenece a ningún pueblo indígena","hombre",127498.857142857
"1000","quilpué ","no","no pertenece a ningún pueblo indígena","hombre",119244.6
"1001","quintero ","no","no pertenece a ningún pueblo indígena","hombre",120900
"1002","villa alemana ","no","no pertenece a ningún pueblo indígena","hombre",236550.666666667
"1003","viña del mar ","no","no pertenece a ningún pueblo indígena","hombre",149909.75
"1004","los andes ","no","no pertenece a ningún pueblo indígena","hombre",56316.25
"1005","calle larga ","no","no pertenece a ningún pueblo indígena","hombre",89767.7692307692
"1006","rinconada ","no","no pertenece a ningún pueblo indígena","hombre",109083.263157895
"1007","san esteban ","no","no pertenece a ningún pueblo indígena","hombre",172784.272727273
"1008","la ligua ","no","no pertenece a ningún pueblo indígena","hombre",137126.352941176
"1009","cabildo ","no","no pertenece a ningún pueblo indígena","hombre",148417.4
"1010","papudo ","no","no pertenece a ningún pueblo indígena","hombre",112577.818181818
"1011","petorca ","no","no pertenece a ningún pueblo indígena","hombre",138809.5
"1012","zapallar ","no","no pertenece a ningún pueblo indígena","hombre",129774.142857143
"1013","quillota ","no","no pertenece a ningún pueblo indígena","hombre",108767.555555556
"1014","la calera ","no","no pertenece a ningún pueblo indígena","hombre",155306.75
"1015","hijuelas ","no","no pertenece a ningún pueblo indígena","hombre",119090.066666667
"1016","la cruz ","no","no pertenece a ningún pueblo indígena","hombre",266352.428571429
"1017","limache ","no","no pertenece a ningún pueblo indígena","hombre",178860.333333333
"1018","nogales ","no","no pertenece a ningún pueblo indígena","hombre",123079.818181818
"1019","olmué ","no","no pertenece a ningún pueblo indígena","hombre",109851.2
"1020","san antonio ","no","no pertenece a ningún pueblo indígena","hombre",86017
"1021","algarrobo ","no","no pertenece a ningún pueblo indígena","hombre",108428.5
"1022","cartagena ","no","no pertenece a ningún pueblo indígena","hombre",139321.071428571
"1023","el quisco ","no","no pertenece a ningún pueblo indígena","hombre",162561.666666667
"1024","el tabo ","no","no pertenece a ningún pueblo indígena","hombre",112446.6
"1025","santo domingo ","no","no pertenece a ningún pueblo indígena","hombre",135659.222222222
"1026","san felipe ","no","no pertenece a ningún pueblo indígena","hombre",128246.6
"1027","catemu ","no","no pertenece a ningún pueblo indígena","hombre",180851.619047619
"1028","llay llay ","no","no pertenece a ningún pueblo indígena","hombre",190275.363636364
"1029","panquehue ","no","no pertenece a ningún pueblo indígena","hombre",116925.869565217
"1030","putaendo ","no","no pertenece a ningún pueblo indígena","hombre",174721.523809524
"1031","santa maría ","no","no pertenece a ningún pueblo indígena","hombre",136877.545454545
"1032","rancagua ","no","no pertenece a ningún pueblo indígena","hombre",276156.384615385
"1033","codegua ","no","no pertenece a ningún pueblo indígena","hombre",125640.65
"1034","coinco ","no","no pertenece a ningún pueblo indígena","hombre",93676.9375
"1035","coltauco ","no","no pertenece a ningún pueblo indígena","hombre",113112.827586207
"1036","doñihue ","no","no pertenece a ningún pueblo indígena","hombre",153702.65
"1037","graneros ","no","no pertenece a ningún pueblo indígena","hombre",129234
"1038","las cabras ","no","no pertenece a ningún pueblo indígena","hombre",115914.677419355
"1039","machalí ","no","no pertenece a ningún pueblo indígena","hombre",122959.909090909
"1040","malloa ","no","no pertenece a ningún pueblo indígena","hombre",102244.888888889
"1041","mostazal ","no","no pertenece a ningún pueblo indígena","hombre",126739.157894737
"1042","olivar ","no","no pertenece a ningún pueblo indígena","hombre",119062.6875
"1043","peumo ","no","no pertenece a ningún pueblo indígena","hombre",134973.476190476
"1044","pichidegua ","no","no pertenece a ningún pueblo indígena","hombre",159450.736842105
"1045","quinta de tilcoco ","no","no pertenece a ningún pueblo indígena","hombre",166384.2
"1046","rengo ","no","no pertenece a ningún pueblo indígena","hombre",113941.526315789
"1047","requínoa ","no","no pertenece a ningún pueblo indígena","hombre",172544.785714286
"1048","san vicente ","no","no pertenece a ningún pueblo indígena","hombre",130457.407407407
"1049","pichilemu ","no","no pertenece a ningún pueblo indígena","hombre",108312.75
"1050","la estrella ","no","no pertenece a ningún pueblo indígena","hombre",95983.9
"1051","litueche ","no","no pertenece a ningún pueblo indígena","hombre",110309.59375
"1052","marchihue ","no","no pertenece a ningún pueblo indígena","hombre",101081.04
"1053","navidad ","no","no pertenece a ningún pueblo indígena","hombre",104619.086956522
"1054","paredones ","no","no pertenece a ningún pueblo indígena","hombre",130420.454545455
"1055","san fernando ","no","no pertenece a ningún pueblo indígena","hombre",96653
"1056","chépica ","no","no pertenece a ningún pueblo indígena","hombre",154144.363636364
"1057","chimbarongo ","no","no pertenece a ningún pueblo indígena","hombre",216528.045454545
"1058","lolol ","no","no pertenece a ningún pueblo indígena","hombre",104668.358490566
"1059","nancagua ","no","no pertenece a ningún pueblo indígena","hombre",145042.409090909
"1060","palmilla ","no","no pertenece a ningún pueblo indígena","hombre",139996.6
"1061","peralillo ","no","no pertenece a ningún pueblo indígena","hombre",111093.055555556
"1062","placilla ","no","no pertenece a ningún pueblo indígena","hombre",106178.736842105
"1063","pumanque ","no","no pertenece a ningún pueblo indígena","hombre",133121.970588235
"1064","santa cruz ","no","no pertenece a ningún pueblo indígena","hombre",144713.56
"1065","talca ","no","no pertenece a ningún pueblo indígena","hombre",119445.363636364
"1066","constitución ","no","no pertenece a ningún pueblo indígena","hombre",144410.416666667
"1067","curepto ","no","no pertenece a ningún pueblo indígena","hombre",114259.6
"1068","empedrado ","no","no pertenece a ningún pueblo indígena","hombre",124633.066666667
"1069","maule ","no","no pertenece a ningún pueblo indígena","hombre",150493.576923077
"1070","pelarco ","no","no pertenece a ningún pueblo indígena","hombre",110541.217391304
"1071","pencahue ","no","no pertenece a ningún pueblo indígena","hombre",138079.972222222
"1072","río claro ","no","no pertenece a ningún pueblo indígena","hombre",136773.5
"1073","san clemente ","no","no pertenece a ningún pueblo indígena","hombre",109720.533333333
"1074","san rafael ","no","no pertenece a ningún pueblo indígena","hombre",100849.666666667
"1075","cauquenes ","no","no pertenece a ningún pueblo indígena","hombre",92415.1111111111
"1076","chanco ","no","no pertenece a ningún pueblo indígena","hombre",112979.1
"1077","pelluhue ","no","no pertenece a ningún pueblo indígena","hombre",135867.666666667
"1078","curicó ","no","no pertenece a ningún pueblo indígena","hombre",107365.071428571
"1079","hualañé ","no","no pertenece a ningún pueblo indígena","hombre",132314.172413793
"1080","licantén ","no","no pertenece a ningún pueblo indígena","hombre",80960.2
"1081","molina ","no","no pertenece a ningún pueblo indígena","hombre",166630.578947368
"1082","rauco ","no","no pertenece a ningún pueblo indígena","hombre",134181.666666667
"1083","romeral ","no","no pertenece a ningún pueblo indígena","hombre",166013.633333333
"1084","sagrada familia ","no","no pertenece a ningún pueblo indígena","hombre",134418.3125
"1085","teno ","no","no pertenece a ningún pueblo indígena","hombre",140310.0625
"1086","vichuquén ","no","no pertenece a ningún pueblo indígena","hombre",135470.545454545
"1087","linares ","no","no pertenece a ningún pueblo indígena","hombre",129511.863636364
"1088","colbún ","no","no pertenece a ningún pueblo indígena","hombre",135761.038461538
"1089","longaví ","no","no pertenece a ningún pueblo indígena","hombre",152828.25
"1090","parral ","no","no pertenece a ningún pueblo indígena","hombre",122561.333333333
"1091","retiro ","no","no pertenece a ningún pueblo indígena","hombre",95499.7894736842
"1092","san javier ","no","no pertenece a ningún pueblo indígena","hombre",133144.869565217
"1093","villa alegre ","no","no pertenece a ningún pueblo indígena","hombre",135586.346153846
"1094","yerbas buenas ","no","no pertenece a ningún pueblo indígena","hombre",112630.35483871
"1095","concepción ","no","no pertenece a ningún pueblo indígena","hombre",152487.444444444
"1096","coronel ","no","no pertenece a ningún pueblo indígena","hombre",106061.75
"1097","chiguayante ","no","no pertenece a ningún pueblo indígena","hombre",81036.3333333333
"1098","florida ","no","no pertenece a ningún pueblo indígena","hombre",126841.628571429
"1099","hualqui ","no","no pertenece a ningún pueblo indígena","hombre",135581.086956522
"1100","lota ","no","no pertenece a ningún pueblo indígena","hombre",105710.928571429
"1101","penco ","no","no pertenece a ningún pueblo indígena","hombre",105280.75
"1102","san pedro de la paz ","no","no pertenece a ningún pueblo indígena","hombre",122935
"1103","santa juana ","no","no pertenece a ningún pueblo indígena","hombre",129834.5
"1104","talcahuano ","no","no pertenece a ningún pueblo indígena","hombre",128434.466666667
"1105","tomé ","no","no pertenece a ningún pueblo indígena","hombre",114851.294117647
"1106","hualpén ","no","no pertenece a ningún pueblo indígena","hombre",114700.5
"1107","lebu ","no","no pertenece a ningún pueblo indígena","hombre",100643
"1108","arauco ","no","no pertenece a ningún pueblo indígena","hombre",140952.631578947
"1109","cañete ","no","no pertenece a ningún pueblo indígena","hombre",79847
"1110","contulmo ","no","no pertenece a ningún pueblo indígena","hombre",98181.2631578947
"1111","curanilahue ","no","no pertenece a ningún pueblo indígena","hombre",108428.933333333
"1112","los alamos ","no","no pertenece a ningún pueblo indígena","hombre",119758.769230769
"1113","tirúa ","no","no pertenece a ningún pueblo indígena","hombre",84751.3076923077
"1114","los angeles ","no","no pertenece a ningún pueblo indígena","hombre",114457.142857143
"1115","antuco ","no","no pertenece a ningún pueblo indígena","hombre",134928.388888889
"1116","cabrero ","no","no pertenece a ningún pueblo indígena","hombre",105093.434782609
"1117","laja ","no","no pertenece a ningún pueblo indígena","hombre",100465.904761905
"1118","mulchén ","no","no pertenece a ningún pueblo indígena","hombre",134730.28125
"1119","nacimiento ","no","no pertenece a ningún pueblo indígena","hombre",135969.142857143
"1120","negrete ","no","no pertenece a ningún pueblo indígena","hombre",146080.625
"1121","quilaco ","no","no pertenece a ningún pueblo indígena","hombre",107108.72
"1122","quilleco","no","no pertenece a ningún pueblo indígena","hombre",114539.148148148
"1123","san rosendo ","no","no pertenece a ningún pueblo indígena","hombre",89142.8461538462
"1124","santa bárbara ","no","no pertenece a ningún pueblo indígena","hombre",98481.0689655172
"1125","tucapel","no","no pertenece a ningún pueblo indígena","hombre",60198.25
"1126","yumbel ","no","no pertenece a ningún pueblo indígena","hombre",124153.619047619
"1127","alto bío bío ","no","no pertenece a ningún pueblo indígena","hombre",139503.7
"1128","chillán ","no","no pertenece a ningún pueblo indígena","hombre",111550.4
"1129","bulnes ","no","no pertenece a ningún pueblo indígena","hombre",112381
"1130","cobquecura ","no","no pertenece a ningún pueblo indígena","hombre",98934.9583333333
"1131","coelemu ","no","no pertenece a ningún pueblo indígena","hombre",111831.090909091
"1132","coihueco ","no","no pertenece a ningún pueblo indígena","hombre",144069.75862069
"1133","chillán viejo ","no","no pertenece a ningún pueblo indígena","hombre",82643.8
"1134","el carmen ","no","no pertenece a ningún pueblo indígena","hombre",93215.9166666667
"1135","ninhue ","no","no pertenece a ningún pueblo indígena","hombre",125210.648648649
"1136","Ñiquén ","no","no pertenece a ningún pueblo indígena","hombre",108459.708333333
